"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2020-12-16,"12-17yrs",0,0,0,0,961857,.0000,.0000,.0000
2020-12-16,"18-29yrs",29,0,0,0,2454802,.0000,.0000,.0000
2020-12-16,"30-39yrs",84,0,0,0,2077137,.0000,.0000,.0000
2020-12-16,"40-49yrs",93,0,0,0,1855340,.0001,.0000,.0000
2020-12-16,"50-59yrs",148,0,0,0,2019276,.0001,.0000,.0000
2020-12-16,"60-69yrs",85,0,0,0,1813493,.0000,.0000,.0000
2020-12-16,"70-79yrs",21,0,0,0,1181151,.0000,.0000,.0000
2020-12-16,"80+",6,0,0,0,674976,.0000,.0000,.0000
2020-12-16,"Adults_18plus",466,0,0,0,12076175,.0000,.0000,.0000
2020-12-16,"Ontario_12plus",466,0,0,0,13038032,.0000,.0000,.0000
2020-12-16,"Undisclosed_or_missing",0,0,0,0,0,.0000,.0000,.0000
2020-12-17,"12-17yrs",0,0,0,0,961857,.0000,.0000,.0000
2020-12-17,"18-29yrs",93,0,0,0,2454802,.0000,.0000,.0000
2020-12-17,"30-39yrs",230,0,0,0,2077137,.0001,.0000,.0000
2020-12-17,"40-49yrs",274,0,0,0,1855340,.0001,.0000,.0000
2020-12-17,"50-59yrs",334,0,0,0,2019276,.0002,.0000,.0000
2020-12-17,"60-69yrs",215,0,0,0,1813493,.0001,.0000,.0000
2020-12-17,"70-79yrs",45,0,0,0,1181151,.0000,.0000,.0000
2020-12-17,"80+",6,0,0,0,674976,.0000,.0000,.0000
2020-12-17,"Adults_18plus",1197,0,0,0,12076175,.0001,.0000,.0000
2020-12-17,"Ontario_12plus",1197,0,0,0,13038032,.0001,.0000,.0000
2020-12-17,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-18,"12-17yrs",0,0,0,0,961857,.0000,.0000,.0000
2020-12-18,"18-29yrs",191,0,0,0,2454802,.0001,.0000,.0000
2020-12-18,"30-39yrs",434,0,0,0,2077137,.0002,.0000,.0000
2020-12-18,"40-49yrs",503,0,0,0,1855340,.0003,.0000,.0000
2020-12-18,"50-59yrs",618,0,0,0,2019276,.0003,.0000,.0000
2020-12-18,"60-69yrs",421,0,0,0,1813493,.0002,.0000,.0000
2020-12-18,"70-79yrs",71,0,0,0,1181151,.0001,.0000,.0000
2020-12-18,"80+",9,0,0,0,674976,.0000,.0000,.0000
2020-12-18,"Adults_18plus",2247,0,0,0,12076175,.0002,.0000,.0000
2020-12-18,"Ontario_12plus",2247,0,0,0,13038032,.0002,.0000,.0000
2020-12-18,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-19,"12-17yrs",2,0,0,0,961857,.0000,.0000,.0000
2020-12-19,"18-29yrs",269,0,0,0,2454802,.0001,.0000,.0000
2020-12-19,"30-39yrs",643,0,0,0,2077137,.0003,.0000,.0000
2020-12-19,"40-49yrs",737,0,0,0,1855340,.0004,.0000,.0000
2020-12-19,"50-59yrs",944,0,0,0,2019276,.0005,.0000,.0000
2020-12-19,"60-69yrs",650,0,0,0,1813493,.0004,.0000,.0000
2020-12-19,"70-79yrs",107,0,0,0,1181151,.0001,.0000,.0000
2020-12-19,"80+",12,0,0,0,674976,.0000,.0000,.0000
2020-12-19,"Adults_18plus",3362,0,0,0,12076175,.0003,.0000,.0000
2020-12-19,"Ontario_12plus",3364,0,0,0,13038032,.0003,.0000,.0000
2020-12-19,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-20,"12-17yrs",2,0,0,0,961857,.0000,.0000,.0000
2020-12-20,"18-29yrs",275,0,0,0,2454802,.0001,.0000,.0000
2020-12-20,"30-39yrs",670,0,0,0,2077137,.0003,.0000,.0000
2020-12-20,"40-49yrs",748,0,0,0,1855340,.0004,.0000,.0000
2020-12-20,"50-59yrs",954,0,0,0,2019276,.0005,.0000,.0000
2020-12-20,"60-69yrs",652,0,0,0,1813493,.0004,.0000,.0000
2020-12-20,"70-79yrs",107,0,0,0,1181151,.0001,.0000,.0000
2020-12-20,"80+",14,0,0,0,674976,.0000,.0000,.0000
2020-12-20,"Adults_18plus",3420,0,0,0,12076175,.0003,.0000,.0000
2020-12-20,"Ontario_12plus",3422,0,0,0,13038032,.0003,.0000,.0000
2020-12-20,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-21,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-21,"18-29yrs",284,0,0,0,2454802,.0001,.0000,.0000
2020-12-21,"30-39yrs",702,0,0,0,2077137,.0003,.0000,.0000
2020-12-21,"40-49yrs",763,0,0,0,1855340,.0004,.0000,.0000
2020-12-21,"50-59yrs",972,0,0,0,2019276,.0005,.0000,.0000
2020-12-21,"60-69yrs",656,0,0,0,1813493,.0004,.0000,.0000
2020-12-21,"70-79yrs",109,0,0,0,1181151,.0001,.0000,.0000
2020-12-21,"80+",14,0,0,0,674976,.0000,.0000,.0000
2020-12-21,"Adults_18plus",3500,0,0,0,12076175,.0003,.0000,.0000
2020-12-21,"Ontario_12plus",3503,0,0,0,13038032,.0003,.0000,.0000
2020-12-21,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-22,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-22,"18-29yrs",387,0,0,0,2454802,.0002,.0000,.0000
2020-12-22,"30-39yrs",879,0,0,0,2077137,.0004,.0000,.0000
2020-12-22,"40-49yrs",915,0,0,0,1855340,.0005,.0000,.0000
2020-12-22,"50-59yrs",1196,0,0,0,2019276,.0006,.0000,.0000
2020-12-22,"60-69yrs",806,0,0,0,1813493,.0004,.0000,.0000
2020-12-22,"70-79yrs",138,0,0,0,1181151,.0001,.0000,.0000
2020-12-22,"80+",15,0,0,0,674976,.0000,.0000,.0000
2020-12-22,"Adults_18plus",4336,0,0,0,12076175,.0004,.0000,.0000
2020-12-22,"Ontario_12plus",4339,0,0,0,13038032,.0003,.0000,.0000
2020-12-22,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-23,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-23,"18-29yrs",623,0,0,0,2454802,.0003,.0000,.0000
2020-12-23,"30-39yrs",1344,0,0,0,2077137,.0006,.0000,.0000
2020-12-23,"40-49yrs",1411,0,0,0,1855340,.0008,.0000,.0000
2020-12-23,"50-59yrs",1790,0,0,0,2019276,.0009,.0000,.0000
2020-12-23,"60-69yrs",1291,0,0,0,1813493,.0007,.0000,.0000
2020-12-23,"70-79yrs",216,0,0,0,1181151,.0002,.0000,.0000
2020-12-23,"80+",134,0,0,0,674976,.0002,.0000,.0000
2020-12-23,"Adults_18plus",6809,0,0,0,12076175,.0006,.0000,.0000
2020-12-23,"Ontario_12plus",6812,0,0,0,13038032,.0005,.0000,.0000
2020-12-23,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-24,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-24,"18-29yrs",978,0,0,0,2454802,.0004,.0000,.0000
2020-12-24,"30-39yrs",2052,0,0,0,2077137,.0010,.0000,.0000
2020-12-24,"40-49yrs",2119,0,0,0,1855340,.0011,.0000,.0000
2020-12-24,"50-59yrs",2743,0,0,0,2019276,.0014,.0000,.0000
2020-12-24,"60-69yrs",2009,0,0,0,1813493,.0011,.0000,.0000
2020-12-24,"70-79yrs",406,0,0,0,1181151,.0003,.0000,.0000
2020-12-24,"80+",293,0,0,0,674976,.0004,.0000,.0000
2020-12-24,"Adults_18plus",10600,0,0,0,12076175,.0009,.0000,.0000
2020-12-24,"Ontario_12plus",10603,0,0,0,13038032,.0008,.0000,.0000
2020-12-24,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-25,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-25,"18-29yrs",1133,0,0,0,2454802,.0005,.0000,.0000
2020-12-25,"30-39yrs",2398,0,0,0,2077137,.0012,.0000,.0000
2020-12-25,"40-49yrs",2557,0,0,0,1855340,.0014,.0000,.0000
2020-12-25,"50-59yrs",3246,0,0,0,2019276,.0016,.0000,.0000
2020-12-25,"60-69yrs",2376,0,0,0,1813493,.0013,.0000,.0000
2020-12-25,"70-79yrs",485,0,0,0,1181151,.0004,.0000,.0000
2020-12-25,"80+",346,0,0,0,674976,.0005,.0000,.0000
2020-12-25,"Adults_18plus",12541,0,0,0,12076175,.0010,.0000,.0000
2020-12-25,"Ontario_12plus",12544,0,0,0,13038032,.0010,.0000,.0000
2020-12-25,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-26,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-26,"18-29yrs",1140,0,0,0,2454802,.0005,.0000,.0000
2020-12-26,"30-39yrs",2400,0,0,0,2077137,.0012,.0000,.0000
2020-12-26,"40-49yrs",2560,0,0,0,1855340,.0014,.0000,.0000
2020-12-26,"50-59yrs",3251,0,0,0,2019276,.0016,.0000,.0000
2020-12-26,"60-69yrs",2380,0,0,0,1813493,.0013,.0000,.0000
2020-12-26,"70-79yrs",487,0,0,0,1181151,.0004,.0000,.0000
2020-12-26,"80+",347,0,0,0,674976,.0005,.0000,.0000
2020-12-26,"Adults_18plus",12565,0,0,0,12076175,.0010,.0000,.0000
2020-12-26,"Ontario_12plus",12568,0,0,0,13038032,.0010,.0000,.0000
2020-12-26,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-27,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-27,"18-29yrs",1156,0,0,0,2454802,.0005,.0000,.0000
2020-12-27,"30-39yrs",2426,0,0,0,2077137,.0012,.0000,.0000
2020-12-27,"40-49yrs",2575,0,0,0,1855340,.0014,.0000,.0000
2020-12-27,"50-59yrs",3263,0,0,0,2019276,.0016,.0000,.0000
2020-12-27,"60-69yrs",2388,0,0,0,1813493,.0013,.0000,.0000
2020-12-27,"70-79yrs",487,0,0,0,1181151,.0004,.0000,.0000
2020-12-27,"80+",347,0,0,0,674976,.0005,.0000,.0000
2020-12-27,"Adults_18plus",12642,0,0,0,12076175,.0010,.0000,.0000
2020-12-27,"Ontario_12plus",12645,0,0,0,13038032,.0010,.0000,.0000
2020-12-27,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-28,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-28,"18-29yrs",1187,0,0,0,2454802,.0005,.0000,.0000
2020-12-28,"30-39yrs",2471,0,0,0,2077137,.0012,.0000,.0000
2020-12-28,"40-49yrs",2620,0,0,0,1855340,.0014,.0000,.0000
2020-12-28,"50-59yrs",3307,0,0,0,2019276,.0016,.0000,.0000
2020-12-28,"60-69yrs",2441,0,0,0,1813493,.0013,.0000,.0000
2020-12-28,"70-79yrs",512,0,0,0,1181151,.0004,.0000,.0000
2020-12-28,"80+",359,0,0,0,674976,.0005,.0000,.0000
2020-12-28,"Adults_18plus",12897,0,0,0,12076175,.0011,.0000,.0000
2020-12-28,"Ontario_12plus",12900,0,0,0,13038032,.0010,.0000,.0000
2020-12-28,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-29,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-29,"18-29yrs",1376,0,0,0,2454802,.0006,.0000,.0000
2020-12-29,"30-39yrs",2883,0,0,0,2077137,.0014,.0000,.0000
2020-12-29,"40-49yrs",3137,0,0,0,1855340,.0017,.0000,.0000
2020-12-29,"50-59yrs",3951,0,0,0,2019276,.0020,.0000,.0000
2020-12-29,"60-69yrs",3007,0,0,0,1813493,.0017,.0000,.0000
